2026-01-01 17:45:41.003 [INFO] SkipList Multi-threaded Stress Test V1
2026-01-01 17:45:41.003 [INFO] ====================================
2026-01-01 17:45:41.003 [INFO] Keys to insert: 100000000
2026-01-01 17:45:41.003 [INFO] Threads: 12
2026-01-01 17:45:41.003 [INFO] Key size: 16 bytes
2026-01-01 17:45:41.003 [INFO] Value size: 100 bytes
2026-01-01 17:45:41.003 [INFO] 
2026-01-01 17:45:41.003 [INFO] Inserting keys...
2026-01-01 17:45:42.004 [INFO]   0M keys, 155K ops/sec, memory: 27 MB
2026-01-01 17:45:43.004 [INFO]   0M keys, 151K ops/sec, memory: 54 MB
2026-01-01 17:45:44.004 [INFO]   0M keys, 154K ops/sec, memory: 82 MB
2026-01-01 17:45:45.004 [INFO]   1M keys, 150K ops/sec, memory: 108 MB
2026-01-01 17:45:46.004 [INFO]   1M keys, 150K ops/sec, memory: 135 MB
2026-01-01 17:45:47.004 [INFO]   1M keys, 153K ops/sec, memory: 162 MB
2026-01-01 17:45:48.005 [INFO]   1M keys, 150K ops/sec, memory: 189 MB
2026-01-01 17:45:49.005 [INFO]   1M keys, 151K ops/sec, memory: 216 MB
2026-01-01 17:45:50.005 [INFO]   1M keys, 153K ops/sec, memory: 243 MB
2026-01-01 17:45:51.005 [INFO]   2M keys, 152K ops/sec, memory: 270 MB
2026-01-01 17:45:52.005 [INFO]   2M keys, 150K ops/sec, memory: 296 MB
2026-01-01 17:45:53.005 [INFO]   2M keys, 143K ops/sec, memory: 322 MB
2026-01-01 17:45:54.006 [INFO]   2M keys, 151K ops/sec, memory: 348 MB
2026-01-01 17:45:55.006 [INFO]   2M keys, 154K ops/sec, memory: 376 MB
2026-01-01 17:45:56.006 [INFO]   2M keys, 151K ops/sec, memory: 403 MB
2026-01-01 17:45:57.006 [INFO]   2M keys, 152K ops/sec, memory: 430 MB
2026-01-01 17:45:58.006 [INFO]   3M keys, 148K ops/sec, memory: 456 MB
2026-01-01 17:45:59.006 [INFO]   3M keys, 147K ops/sec, memory: 482 MB
2026-01-01 17:46:00.006 [INFO]   3M keys, 148K ops/sec, memory: 508 MB
2026-01-01 17:46:01.007 [INFO]   3M keys, 143K ops/sec, memory: 534 MB
2026-01-01 17:46:02.007 [INFO]   3M keys, 147K ops/sec, memory: 560 MB
2026-01-01 17:46:03.007 [INFO]   3M keys, 149K ops/sec, memory: 586 MB
2026-01-01 17:46:04.007 [INFO]   3M keys, 146K ops/sec, memory: 612 MB
2026-01-01 17:46:05.007 [INFO]   4M keys, 146K ops/sec, memory: 638 MB
2026-01-01 17:46:06.007 [INFO]   4M keys, 145K ops/sec, memory: 664 MB
2026-01-01 17:46:07.008 [INFO]   4M keys, 145K ops/sec, memory: 690 MB
2026-01-01 17:46:08.008 [INFO]   4M keys, 146K ops/sec, memory: 716 MB
2026-01-01 17:46:09.008 [INFO]   4M keys, 147K ops/sec, memory: 742 MB
2026-01-01 17:46:10.008 [INFO]   4M keys, 149K ops/sec, memory: 768 MB
2026-01-01 17:46:11.008 [INFO]   4M keys, 147K ops/sec, memory: 795 MB
2026-01-01 17:46:12.008 [INFO]   5M keys, 146K ops/sec, memory: 820 MB
2026-01-01 17:46:13.008 [INFO]   5M keys, 143K ops/sec, memory: 846 MB
2026-01-01 17:46:14.009 [INFO]   5M keys, 141K ops/sec, memory: 871 MB
2026-01-01 17:46:15.009 [INFO]   5M keys, 141K ops/sec, memory: 896 MB
2026-01-01 17:46:16.009 [INFO]   5M keys, 143K ops/sec, memory: 921 MB
2026-01-01 17:46:17.009 [INFO]   5M keys, 142K ops/sec, memory: 947 MB
2026-01-01 17:46:18.009 [INFO]   5M keys, 143K ops/sec, memory: 972 MB
2026-01-01 17:46:19.009 [INFO]   6M keys, 141K ops/sec, memory: 997 MB
2026-01-01 17:46:20.010 [INFO]   6M keys, 143K ops/sec, memory: 1022 MB
2026-01-01 17:46:21.010 [INFO]   6M keys, 141K ops/sec, memory: 1047 MB
2026-01-01 17:46:22.010 [INFO]   6M keys, 140K ops/sec, memory: 1072 MB
2026-01-01 17:46:23.010 [INFO]   6M keys, 143K ops/sec, memory: 1098 MB
2026-01-01 17:46:24.010 [INFO]   6M keys, 144K ops/sec, memory: 1123 MB
2026-01-01 17:46:25.011 [INFO]   6M keys, 142K ops/sec, memory: 1149 MB
2026-01-01 17:46:26.011 [INFO]   7M keys, 142K ops/sec, memory: 1174 MB
2026-01-01 17:46:27.011 [INFO]   7M keys, 141K ops/sec, memory: 1199 MB
2026-01-01 17:46:28.011 [INFO]   7M keys, 141K ops/sec, memory: 1224 MB
2026-01-01 17:46:29.011 [INFO]   7M keys, 139K ops/sec, memory: 1249 MB
2026-01-01 17:46:30.012 [INFO]   7M keys, 139K ops/sec, memory: 1273 MB
2026-01-01 17:46:31.012 [INFO]   7M keys, 141K ops/sec, memory: 1298 MB
2026-01-01 17:46:32.012 [INFO]   7M keys, 137K ops/sec, memory: 1323 MB
2026-01-01 17:46:33.012 [INFO]   8M keys, 140K ops/sec, memory: 1348 MB
2026-01-01 17:46:34.012 [INFO]   8M keys, 140K ops/sec, memory: 1373 MB
2026-01-01 17:46:35.012 [INFO]   8M keys, 145K ops/sec, memory: 1398 MB
2026-01-01 17:46:36.012 [INFO]   8M keys, 140K ops/sec, memory: 1423 MB
2026-01-01 17:46:37.013 [INFO]   8M keys, 140K ops/sec, memory: 1448 MB
2026-01-01 17:46:38.013 [INFO]   8M keys, 143K ops/sec, memory: 1473 MB
2026-01-01 17:46:39.013 [INFO]   8M keys, 141K ops/sec, memory: 1498 MB
